Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-28 04:20:00+00:00,20299.91796875,20301.837890625,20299.583984375,20299.583984375,0,0,0
2022-10-28 04:25:00+00:00,20295.775390625,20296.0546875,20293.76953125,20296.0546875,0,0,0
2022-10-28 04:30:00+00:00,20295.185546875,20295.185546875,20289.6875,20291.009765625,0,0,0
2022-10-28 04:35:00+00:00,20290.48046875,20290.8828125,20288.5078125,20288.5078125,0,0,0
2022-10-28 04:40:00+00:00,20289.52734375,20292.71875,20289.126953125,20290.587890625,0,0,0
2022-10-28 04:45:00+00:00,20290.345703125,20291.494140625,20280.7109375,20280.7109375,10240000,0,0
2022-10-28 04:50:00+00:00,20273.654296875,20278.8984375,20273.654296875,20277.78125,17117184,0,0
2022-10-28 04:55:00+00:00,20277.240234375,20277.240234375,20268.130859375,20268.130859375,0,0,0
2022-10-28 05:00:00+00:00,20266.732421875,20266.732421875,20258.91015625,20260.6484375,0,0,0
2022-10-28 05:05:00+00:00,20260.328125,20263.20703125,20258.201171875,20258.201171875,0,0,0
2022-10-28 05:10:00+00:00,20252.830078125,20252.830078125,20240.744140625,20240.744140625,3223552,0,0
2022-10-28 05:15:00+00:00,20241.193359375,20244.826171875,20236.47265625,20244.826171875,2633728,0,0
2022-10-28 05:20:00+00:00,20248.744140625,20256.314453125,20248.744140625,20256.314453125,19439616,0,0
2022-10-28 05:25:00+00:00,20266.7265625,20267.322265625,20263.841796875,20263.841796875,0,0,0
2022-10-28 05:30:00+00:00,20264.47265625,20267.859375,20258.953125,20267.859375,20447232,0,0
2022-10-28 05:35:00+00:00,20271.01171875,20271.01171875,20255.97265625,20255.97265625,0,0,0
2022-10-28 05:40:00+00:00,20252.064453125,20252.064453125,20248.671875,20248.671875,0,0,0
2022-10-28 05:45:00+00:00,20246.15625,20248.974609375,20244.53515625,20248.974609375,0,0,0
2022-10-28 05:50:00+00:00,20255.23046875,20269.287109375,20255.23046875,20269.287109375,13082624,0,0
2022-10-28 05:55:00+00:00,20275.904296875,20285.048828125,20275.904296875,20285.048828125,0,0,0
2022-10-28 06:00:00+00:00,20285.416015625,20299.234375,20285.416015625,20299.234375,0,0,0
2022-10-28 06:05:00+00:00,20299.744140625,20299.744140625,20289.275390625,20289.275390625,0,0,0
