Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-17,4460.0,4485.39,4134.61,4356.31,1400,,
2017-08-18,4356.31,4357.37,3933.21,4000.58,777,,
2017-08-19,4016.0,4211.08,3850.0,4142.41,216,,
2017-08-20,4104.68,4185.94,3953.4,4088.1,948,,
2017-08-21,4063.0,4070.49,3400.0,3844.08,662,,
2017-08-22,3844.07,4242.32,3786.81,4228.02,942,,
2017-08-23,4203.12,4265.8,4069.8,4173.98,1006,,
2017-08-24,4173.98,4371.68,4136.33,4314.33,715,,
2017-08-25,4331.67,4453.91,4228.99,4292.8,402,,
2017-08-26,4307.5,4400.0,4212.41,4302.73,308,,
2017-08-27,4323.87,4386.79,4124.54,4290.77,464,,
2017-08-28,4290.77,4404.07,4271.03,4346.86,658,,
2017-08-29,4346.86,4647.51,4333.2,4477.1,753,,
2017-08-30,4538.09,4678.57,4416.16,4632.96,721,,
2017-08-31,4632.97,4778.19,4631.41,4761.42,564,,
2017-09-01,4761.42,4939.19,4473.35,4625.56,759,,
2017-09-02,4634.95,4714.76,4286.87,4510.09,821,,
2017-09-03,4508.98,4583.84,4052.0,4349.23,1104,,
2017-09-04,4349.23,4352.58,3603.0,4169.76,1389,,
2017-09-05,4170.24,4574.46,4096.06,4525.39,1035,,
2017-09-06,4535.29,4662.87,4422.28,4589.4,587,,
2017-09-07,4607.16,4788.59,4574.01,4659.99,419,,
2017-09-08,4650.33,4690.83,4028.93,4282.07,1402,,
2017-09-09,4312.24,4400.6,3801.0,4002.67,689,,
2017-09-10,4002.0,4334.43,3900.05,4176.24,784,,
2017-09-11,4185.66,4394.59,4158.84,4330.0,585,,
2017-09-12,4332.5,4361.99,3796.8,3820.02,1050,,
2017-09-13,3821.02,3993.0,3620.0,3671.14,941,,
2017-09-14,3700.0,3720.02,2900.0,2950.0,1990,,
2017-09-15,2947.0,3950.0,2817.0,3480.0,1934,,
2017-09-16,3490.0,3800.0,3490.0,3577.44,936,,
2017-09-17,3574.99,4000.0,3499.02,3931.23,841,,
2017-09-18,3928.0,4123.2,3830.91,4000.0,1006,,
2017-09-19,3990.13,4032.02,3820.0,3928.35,837,,
2017-09-20,3928.35,4046.08,3800.0,3871.48,729,,
2017-09-21,3904.68,3904.68,3567.0,3572.85,1070,,
2017-09-22,3577.84,3780.0,3505.55,3770.01,814,,
2017-09-23,3779.0,3817.19,3622.76,3647.26,834,,
2017-09-24,3647.26,3815.74,3624.38,3800.0,661,,
2017-09-25,3800.0,3979.87,3770.0,3937.0,718,,
2017-09-26,3937.0,4075.43,3872.81,4075.43,436,,
2017-09-27,4065.0,4300.0,4050.0,4148.0,812,,
2017-09-28,4140.96,4215.0,3952.01,4145.3,1548,,
2017-09-29,4145.3,4345.0,4101.01,4340.0,962,,
2017-09-30,4340.0,4380.0,4265.02,4359.54,656,,
2017-10-01,4332.01,4560.0,4240.04,4458.01,784,,
2017-10-02,4458.01,4561.63,4189.71,4271.0,945,,
2017-10-03,4271.0,4373.0,4180.8,4212.39,909,,
2017-10-04,4212.4,4248.97,4110.0,4234.77,940,,
2017-10-05,4234.77,4417.0,4225.0,4404.05,621,,
2017-10-06,4404.05,4416.98,4312.56,4325.02,443,,
2017-10-07,4340.01,4517.0,4317.0,4495.03,352,,
2017-10-08,4495.07,4660.0,4447.65,4602.02,560,,
2017-10-09,4608.06,4889.98,4596.52,4820.5,809,,
2017-10-10,4820.51,4960.0,4680.59,4824.99,1328,,
2017-10-11,4823.98,5218.99,4751.01,5204.34,597,,
