,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-28 11:30:00-05:00,3809.669921875,3825.659912109375,3807.22998046875,3825.2099609375,357124990,0,0
2021-01-28 12:30:00-05:00,3825.179931640625,3829.64990234375,3820.39990234375,3823.3798828125,277035018,0,0
2021-01-28 13:30:00-05:00,3823.3798828125,3830.5,3815.840087890625,3819.389892578125,264062848,0,0
2021-01-28 14:30:00-05:00,3819.419921875,3820.52001953125,3804.800048828125,3804.800048828125,312929005,0,0
2021-01-28 15:30:00-05:00,3804.77001953125,3808.610107421875,3785.320068359375,3785.679931640625,414836988,0,0
2021-01-29 09:30:00-05:00,3778.050048828125,3778.050048828125,3742.35009765625,3773.239990234375,0,0,0
2021-01-29 10:30:00-05:00,3773.239990234375,3776.419921875,3737.969970703125,3738.530029296875,343718511,0,0
2021-01-29 11:30:00-05:00,3738.429931640625,3742.47998046875,3716.669921875,3719.320068359375,319511041,0,0
2021-01-29 12:30:00-05:00,3719.320068359375,3722.14990234375,3694.1201171875,3718.860107421875,374478063,0,0
2021-01-29 13:30:00-05:00,3719.010009765625,3727.25,3706.820068359375,3720.7099609375,272863773,0,0
2021-01-29 14:30:00-05:00,3720.64990234375,3740.580078125,3708.330078125,3731.929931640625,312345947,0,0
2021-01-29 15:30:00-05:00,3731.93994140625,3741.7900390625,3711.449951171875,3713.22998046875,490409146,0,0
2021-02-01 09:30:00-05:00,3731.169921875,3755.080078125,3725.6201171875,3741.469970703125,0,0,0
2021-02-01 10:30:00-05:00,3740.780029296875,3758.18994140625,3733.820068359375,3757.18994140625,299885292,0,0
2021-02-01 11:30:00-05:00,3757.159912109375,3773.0,3756.22998046875,3772.4599609375,329840681,0,0
2021-02-01 12:30:00-05:00,3772.489990234375,3776.530029296875,3768.02001953125,3775.110107421875,210517049,0,0
2021-02-01 13:30:00-05:00,3775.110107421875,3780.72998046875,3769.39990234375,3780.47998046875,211399637,0,0
2021-02-01 14:30:00-05:00,3780.5,3784.320068359375,3774.409912109375,3777.139892578125,244399169,0,0
2021-02-01 15:30:00-05:00,3777.10009765625,3781.610107421875,3773.2900390625,3773.300048828125,347013847,0,0
2021-02-02 09:30:00-05:00,3791.840087890625,3835.93994140625,3791.840087890625,3826.919921875,0,0,0
2021-02-02 10:30:00-05:00,3826.610107421875,3839.81005859375,3825.469970703125,3836.35009765625,306789910,0,0
2021-02-02 11:30:00-05:00,3836.360107421875,3843.090087890625,3834.9599609375,3837.0400390625,246173864,0,0
2021-02-02 12:30:00-05:00,3837.030029296875,3841.419921875,3833.199951171875,3835.080078125,194756843,0,0
2021-02-02 13:30:00-05:00,3835.090087890625,3840.5,3835.090087890625,3836.780029296875,194023991,0,0
2021-02-02 14:30:00-05:00,3836.830078125,3842.280029296875,3835.409912109375,3838.52001953125,238421127,0,0
2021-02-02 15:30:00-05:00,3838.47998046875,3838.659912109375,3826.22998046875,3826.469970703125,345515689,0,0
2021-02-03 09:30:00-05:00,3840.27001953125,3841.6201171875,3819.330078125,3819.330078125,0,0,0
2021-02-03 10:30:00-05:00,3819.3701171875,3832.389892578125,3816.679931640625,3830.02001953125,314058656,0,0
2021-02-03 11:30:00-05:00,3830.030029296875,3838.5,3827.7900390625,3836.3701171875,226527269,0,0
2021-02-03 12:30:00-05:00,3836.360107421875,3840.89990234375,3833.010009765625,3840.06005859375,190986323,0,0
2021-02-03 13:30:00-05:00,3840.030029296875,3846.77001953125,3838.68994140625,3845.919921875,198822605,0,0
2021-02-03 14:30:00-05:00,3845.89990234375,3847.510009765625,3834.570068359375,3835.75,243598662,0,0
2021-02-03 15:30:00-05:00,3835.75,3839.22998046875,3830.110107421875,3830.110107421875,321406847,0,0
2021-02-04 09:30:00-05:00,3841.530029296875,3854.75,3839.070068359375,3847.780029296875,0,0,0
2021-02-04 10:30:00-05:00,3847.840087890625,3858.1201171875,3846.860107421875,3855.8701171875,300420880,0,0
2021-02-04 11:30:00-05:00,3855.909912109375,3859.6298828125,3853.97998046875,3858.1201171875,221626114,0,0
2021-02-04 12:30:00-05:00,3858.139892578125,3862.7900390625,3856.929931640625,3861.639892578125,201600774,0,0
2021-02-04 13:30:00-05:00,3861.659912109375,3864.550048828125,3861.3798828125,3862.68994140625,201852722,0,0
2021-02-04 14:30:00-05:00,3862.659912109375,3864.81005859375,3860.010009765625,3861.419921875,244590394,0,0
2021-02-04 15:30:00-05:00,3861.530029296875,3872.419921875,3860.429931640625,3871.75,347123429,0,0
2021-02-05 09:30:00-05:00,3878.300048828125,3891.68994140625,3874.929931640625,3881.31005859375,0,0,0
2021-02-05 10:30:00-05:00,3881.320068359375,3890.18994140625,3881.179931640625,3883.669921875,280490362,0,0
2021-02-05 11:30:00-05:00,3883.64990234375,3888.85009765625,3882.3798828125,3888.60009765625,197957303,0,0
2021-02-05 12:30:00-05:00,3888.610107421875,3894.56005859375,3887.860107421875,3890.6298828125,181600679,0,0
2021-02-05 13:30:00-05:00,3890.610107421875,3891.169921875,3884.389892578125,3888.219970703125,188583104,0,0
2021-02-05 14:30:00-05:00,3888.2099609375,3890.219970703125,3882.070068359375,3882.35009765625,211686151,0,0
2021-02-05 15:30:00-05:00,3882.320068359375,3888.030029296875,3882.2099609375,3886.820068359375,284324964,0,0
2021-02-08 09:30:00-05:00,3892.590087890625,3909.27001953125,3892.590087890625,3905.3798828125,0,0,0
2021-02-08 10:30:00-05:00,3905.409912109375,3909.919921875,3899.760009765625,3901.02001953125,262224742,0,0
2021-02-08 11:30:00-05:00,3901.85009765625,3903.969970703125,3894.2900390625,3903.070068359375,224603196,0,0
2021-02-08 12:30:00-05:00,3903.050048828125,3903.3701171875,3898.5,3900.550048828125,180480122,0,0
2021-02-08 13:30:00-05:00,3900.530029296875,3903.1201171875,3896.360107421875,3900.3701171875,173417687,0,0
2021-02-08 14:30:00-05:00,3900.35009765625,3905.580078125,3898.780029296875,3905.409912109375,196797994,0,0
2021-02-08 15:30:00-05:00,3905.3798828125,3915.5400390625,3904.429931640625,3915.489990234375,329802395,0,0
2021-02-09 09:30:00-05:00,3910.489990234375,3913.739990234375,3902.639892578125,3911.47998046875,0,0,0
2021-02-09 10:30:00-05:00,3911.580078125,3914.31005859375,3903.6201171875,3906.9599609375,264121029,0,0
2021-02-09 11:30:00-05:00,3906.93994140625,3915.68994140625,3906.070068359375,3914.909912109375,220724683,0,0
2021-02-09 12:30:00-05:00,3914.909912109375,3917.969970703125,3911.7099609375,3911.830078125,188650002,0,0
2021-02-09 13:30:00-05:00,3911.820068359375,3916.6201171875,3911.469970703125,3916.330078125,168152540,0,0
2021-02-09 14:30:00-05:00,3916.31005859375,3918.030029296875,3914.10009765625,3914.1298828125,203771890,0,0
2021-02-09 15:30:00-05:00,3914.1201171875,3918.35009765625,3908.429931640625,3911.449951171875,282728511,0,0
2021-02-10 09:30:00-05:00,3920.780029296875,3931.5,3896.9599609375,3903.75,0,0,0
2021-02-10 10:30:00-05:00,3903.64990234375,3910.64990234375,3884.93994140625,3902.75,338968422,0,0
2021-02-10 11:30:00-05:00,3902.669921875,3909.52001953125,3896.52001953125,3902.81005859375,217050485,0,0
2021-02-10 12:30:00-05:00,3902.81005859375,3908.719970703125,3899.889892578125,3908.389892578125,174541695,0,0
2021-02-10 13:30:00-05:00,3908.340087890625,3912.820068359375,3903.659912109375,3912.820068359375,188204569,0,0
2021-02-10 14:30:00-05:00,3912.8798828125,3919.830078125,3911.469970703125,3913.320068359375,234169463,0,0
2021-02-10 15:30:00-05:00,3913.3798828125,3915.18994140625,3903.639892578125,3910.340087890625,315875040,0,0
2021-02-11 09:30:00-05:00,3916.39990234375,3925.989990234375,3912.5,3918.0,0,0,0
2021-02-11 10:30:00-05:00,3918.300048828125,3922.18994140625,3910.72998046875,3915.0,250121950,0,0
2021-02-11 11:30:00-05:00,3915.06005859375,3918.360107421875,3895.25,3895.25,238493698,0,0
2021-02-11 12:30:00-05:00,3895.239990234375,3907.550048828125,3890.389892578125,3905.68994140625,199819811,0,0
2021-02-11 13:30:00-05:00,3905.7099609375,3908.570068359375,3897.02001953125,3902.030029296875,176845986,0,0
2021-02-11 14:30:00-05:00,3901.97998046875,3913.030029296875,3899.25,3910.1298828125,199159055,0,0
2021-02-11 15:30:00-05:00,3910.18994140625,3917.909912109375,3907.949951171875,3917.2900390625,299749577,0,0
2021-02-12 09:30:00-05:00,3911.64990234375,3916.610107421875,3905.780029296875,3914.260009765625,0,0,0
