Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-03,38.25372695922852,41.6063232421875,37.8181037902832,41.14897918701172,758008613,0,0
2021-01-04,41.198280334472656,43.13212203979492,38.14398193359375,40.92635345458984,807877171,0,0
2021-01-05,40.937278747558594,41.73460006713867,38.97895431518555,41.73460006713867,644270927,0,0
2021-01-06,41.775535583496094,42.19270324707031,40.592529296875,42.16595458984375,641021601,0,0
2021-01-07,42.196624755859375,44.47003555297852,41.49586868286133,43.44948959350586,829964770,0,0
2021-01-08,43.56868743896485,43.5904655456543,40.534481048583984,42.39531707763672,650561500,0,0
2021-01-09,42.37369537353516,44.11974334716797,41.59010314941406,43.93285369873047,590039660,0,0
2021-01-10,43.944122314453125,45.155418395996094,40.59486389160156,42.4484748840332,701488832,0,0
2021-01-11,42.47262191772461,42.477500915527344,35.17088317871094,38.371360778808594,890728694,0,0
2021-01-12,38.279518127441406,39.930908203125,37.18550109863281,38.111610412597656,567249584,0,0
2021-01-13,38.10942459106445,40.40154266357422,37.14378356933594,40.13593292236328,542384725,0,0
2021-01-14,40.11882781982422,41.87310028076172,39.65635681152344,41.79368209838867,534108764,0,0
2021-01-15,41.794952392578125,42.41106033325195,39.095462799072266,40.91897964477539,562019413,0,0
2021-01-16,40.91943359375,43.91791915893555,40.73382186889648,43.17182540893555,604218252,0,0
2021-01-17,43.1561393737793,46.654544830322266,41.09147262573242,45.68461227416992,664875513,0,0
2021-01-18,45.76753234863281,46.803802490234375,44.15646362304688,45.353172302246094,586905636,0,0
2021-01-19,45.33563995361328,47.09810256958008,41.94388961791992,42.7855339050293,750638729,0,0
2021-01-20,42.66294860839844,42.75456237792969,40.30640411376953,42.60689926147461,684094133,0,0
2021-01-21,42.60602569580078,42.63518905639648,38.44939041137695,38.64583969116211,621983627,0,0
2021-01-22,38.63531112670898,41.40969467163086,36.95341491699219,40.85757064819336,561072899,0,0
2021-01-23,40.86509323120117,41.85029220581055,39.58652877807617,40.81547927856445,468609053,0,0
2021-01-24,40.86247253417969,42.191524505615234,40.50406265258789,41.88160705566406,450486066,0,0
2021-01-25,41.87605285644531,43.3535270690918,40.6336555480957,41.62370300292969,507172505,0,0
2021-01-26,41.65512847900391,42.47721481323242,40.00783157348633,41.69473648071289,546536514,0,0
2021-01-27,41.75617218017578,42.04783630371094,39.73080062866211,40.994876861572266,519618043,0,0
2021-01-28,40.986419677734375,43.076507568359375,40.50751876831055,42.52910614013672,533847527,0,0
2021-01-29,42.38618087768555,44.00945281982422,41.90700149536133,42.85234832763672,651771603,0,0
2021-01-30,42.853511810302734,44.98825454711914,42.6800651550293,44.77227783203125,533768579,0,0
2021-01-31,44.79869842529297,45.70771026611328,43.42907333374024,44.27599334716797,512545443,0,0
