Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-01 11:25:00-04:00,882.75,901.25,882.5,884.25,0,0,0
2022-11-01 11:30:00-04:00,884.0,901.75,880.75,881.75,1453,0,0
2022-11-01 11:35:00-04:00,882.0,901.75,882.0,884.0,548,0,0
2022-11-01 11:40:00-04:00,884.0,901.25,874.5,879.0,3637,0,0
2022-11-01 11:45:00-04:00,896.5,897.5,877.5,878.75,1074,0,0
2022-11-01 11:50:00-04:00,878.75,896.0,876.0,877.75,798,0,0
2022-11-01 11:55:00-04:00,878.0,895.25,876.5,877.75,280,0,0
2022-11-01 12:00:00-04:00,877.5,898.0,877.5,879.5,656,0,0
2022-11-01 12:05:00-04:00,879.5,898.75,878.5,881.25,0,0,0
2022-11-01 12:10:00-04:00,881.5,899.5,879.0,899.5,673,0,0
2022-11-01 12:15:00-04:00,899.5,907.5,881.5,889.75,33460,0,0
2022-11-01 12:20:00-04:00,890.0,908.0,887.5,889.25,1302,0,0
2022-11-01 12:25:00-04:00,889.5,909.0,889.5,907.25,0,0,0
2022-11-01 12:30:00-04:00,890.75,908.25,885.5,885.75,34398,0,0
2022-11-01 12:35:00-04:00,886.0,904.5,885.25,902.5,0,0,0
2022-11-01 12:40:00-04:00,886.25,905.25,886.25,888.25,34921,0,0
2022-11-01 12:45:00-04:00,888.0,904.5,885.5,885.75,726,0,0
2022-11-01 12:50:00-04:00,885.75,903.0,884.0,885.5,272,0,0
2022-11-01 12:55:00-04:00,885.5,904.75,885.5,903.25,0,0,0
2022-11-01 13:00:00-04:00,886.25,904.0,885.25,886.75,35151,0,0
2022-11-01 13:05:00-04:00,886.75,906.0,886.75,887.25,359,0,0
2022-11-01 13:10:00-04:00,887.5,906.25,887.0,887.0,385,0,0
2022-11-01 13:15:00-04:00,887.0,906.0,885.5,889.75,441,0,0
2022-11-01 13:20:00-04:00,889.75,908.25,888.5,891.75,475,0,0
2022-11-01 13:25:00-04:00,891.5,913.25,891.25,895.0,1615,0,0
2022-11-01 13:30:00-04:00,911.25,912.5,893.5,893.75,791,0,0
2022-11-01 13:35:00-04:00,893.25,911.75,893.25,894.0,710,0,0
2022-11-01 13:40:00-04:00,894.25,913.25,894.25,896.5,803,0,0
2022-11-01 13:45:00-04:00,896.5,913.5,896.25,896.75,521,0,0
2022-11-01 13:50:00-04:00,896.75,918.25,896.75,899.5,1678,0,0
2022-11-01 13:55:00-04:00,899.5,917.25,899.0,899.0,572,0,0
2022-11-01 14:00:00-04:00,899.0,916.25,897.25,899.25,795,0,0
2022-11-01 14:05:00-04:00,899.5,918.25,899.0,901.5,922,0,0
2022-11-01 14:10:00-04:00,918.0,920.75,900.5,900.75,3474,0,0
2022-11-01 14:15:00-04:00,900.5,917.5,897.0,915.25,1474,0,0
2022-11-01 20:00:00-04:00,898.5,915.75,895.0,896.25,0,0,0
2022-11-01 20:05:00-04:00,896.25,913.25,894.75,894.75,233,0,0
2022-11-01 20:10:00-04:00,894.5,912.5,894.5,895.25,52,0,0
2022-11-01 20:15:00-04:00,895.0,913.5,895.0,896.0,45,0,0
2022-11-01 20:20:00-04:00,895.75,915.5,895.5,896.0,149,0,0
2022-11-01 20:25:00-04:00,895.75,913.0,894.5,912.75,50,0,0
2022-11-01 20:30:00-04:00,895.5,913.75,895.5,913.75,0,0,0
2022-11-01 20:35:00-04:00,914.0,914.0,896.25,896.25,465,0,0
2022-11-01 20:40:00-04:00,896.5,913.75,895.5,895.75,41,0,0
2022-11-01 20:45:00-04:00,913.75,915.0,896.0,915.0,0,0,0
2022-11-01 20:50:00-04:00,914.75,915.5,897.0,897.25,552,0,0
2022-11-01 20:55:00-04:00,897.25,897.25,896.75,896.75,21,0,0
2022-11-01 21:00:00-04:00,896.75,914.0,895.25,895.25,54,0,0
2022-11-01 21:05:00-04:00,895.5,896.0,895.25,895.5,25,0,0
2022-11-01 21:10:00-04:00,895.0,895.5,894.5,894.5,25,0,0
2022-11-01 21:15:00-04:00,894.75,895.25,894.25,895.0,12,0,0
2022-11-01 21:20:00-04:00,894.5,913.25,894.5,913.25,0,0,0
2022-11-01 21:25:00-04:00,895.5,913.25,894.5,894.5,701,0,0
2022-11-01 21:30:00-04:00,912.5,913.0,894.5,895.5,58,0,0
2022-11-01 21:35:00-04:00,895.25,913.25,895.25,896.0,23,0,0
2022-11-01 21:40:00-04:00,896.0,914.25,896.0,914.25,0,0,0
2022-11-01 21:45:00-04:00,914.5,914.75,896.75,896.75,774,0,0
